Key,Projecto,Punto,Sum of NUM_OTU,Sum of NUM_REP,Sum of N_LECT_TOT
1,EIA PPII - PLATERO sobre YNC,HLO 2 - Replica 1,292,4,69967
2,EIA PPII - PLATERO sobre YNC,HLO 2 - Replica 2,545,4,192819
3,EIA PPII - PLATERO sobre YNC,HLO 2 - Replica 3,395,4,227683
4,EIA PPII - PLATERO sobre YNC,HLO 4 - Replica 1,327,4,153198
5,EIA PPII - PLATERO sobre YNC,HLO 4 - Replica 2,392,4,150787
6,EIA PPII - PLATERO sobre YNC,HLO 4 - Replica 3,203,4,134859
7,EIA PPII - PLATERO sobre YNC,HLO 10 - Replica 1,245,4,133141
8,EIA PPII - PLATERO sobre YNC,HLO 10 - Replica 2,364,4,56452
9,EIA PPII - PLATERO sobre YNC,HLO 10 - Replica 3,342,4,142452
10,EIA PPII - PLATERO sobre YNC,SLO 1 - Replica 1,348,4,247712
11,EIA PPII - PLATERO sobre YNC,SLO 1 - Replica 2,413,4,183524
12,EIA PPII - PLATERO sobre YNC,SLO 1 - Replica 3,364,4,236106
13,EIA PPII - PLATERO sobre YNC,HLE 2 - Replica 1,338,4,191963
14,EIA PPII - PLATERO sobre YNC,HLE 2 - Replica 2,283,4,226243
15,EIA PPII - PLATERO sobre YNC,HLE 2 - Replica 3,159,4,108330
16,EIA PPII - PLATERO sobre YNC,HLE 3 - Replica 1,269,4,262003
17,EIA PPII - PLATERO sobre YNC,HLE 3 - Replica 2,115,4,179782
18,EIA PPII - PLATERO sobre YNC,HLE 3 - Replica 3,323,4,236831
19,EIA PPII - PLATERO sobre YNC,HLE 5 - Replica 1,524,4,227459
20,EIA PPII - PLATERO sobre YNC,HLE 5 - Replica 2,236,4,235185
21,EIA PPII - PLATERO sobre YNC,HLE 5 - Replica 3,260,4,237865
22,EIA PPII - PLATERO sobre YNC,Punto 2 Replica 1,660,2,188828
23,EIA PPII - PLATERO sobre YNC,Punto 2 Replica 2,842,2,155557
24,EIA PPII - PLATERO sobre YNC,Punto 2 Replica 3,681,2,165864
25,EIA PPII - PLATERO sobre YNC,HLO 7 - Replica 1,647,2,52059
26,EIA PPII - PLATERO sobre YNC,HLO 7 - Replica 2,,2,
27,EIA PPII - PLATERO sobre YNC,HLO 7 - Replica 3,559,2,69402
